"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1055","Check out ALPACA Hoodie Sweater Pullover Fringe Tie Neck Llamas Striped Measures Like S/M #Alpaca https://t.co/I9H06gpkMq",FALSE,0,NA,2017-11-30 22:45:33,FALSE,NA,"936365612263247872",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","Denver_Buzz",0,FALSE,FALSE,NA,NA
"1056","Why address a serious water quality issue when you can just be like @CDPHE and punt?
https://t.co/whgcH7xBs7 via @denverpost",FALSE,0,NA,2017-11-30 22:45:30,FALSE,NA,"936365599764213761",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","INFORMining",0,FALSE,FALSE,NA,NA
"1057","RT @SenWhitehouse: Lie #1: .@realDonaldTrump said this bill would pay for itself. $1.5 trillion to the national debt over the next years is…",FALSE,0,NA,2017-11-30 22:45:15,FALSE,NA,"936365536522387456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",371,TRUE,FALSE,NA,NA
"1058","RT @Brownhouse1995: Strawberry Banana just hit shelf straight from the grow!! Make sure you check this strain out!!! #weed #marijuana #cann…",FALSE,0,NA,2017-11-30 22:45:14,FALSE,NA,"936365532617388034",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielross6913",2,TRUE,FALSE,NA,NA
"1059","RT @mateoche: A well deserved nod to Lisa Gedgaudas!   Five of the Greatest People in Denver's Music Scene: November 2017  https://t.co/QXr…",FALSE,0,NA,2017-11-30 22:45:13,FALSE,NA,"936365526871363584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MajesticCollab",5,TRUE,FALSE,NA,NA
"1060","Enough! Denver deserves safe water, Wolk. Listen to science, not $. #firewolk #savedenverwater #nomolybdenumwater https://t.co/EZuU4QddAM",FALSE,0,NA,2017-11-30 22:45:12,FALSE,NA,"936365522584662016",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mindseyeworld",0,FALSE,FALSE,NA,NA
"1061","Full-stack Javascript Developer - BombBomb - Denver, CO 80202 US https://t.co/hTxT1J5RaQ #javascript #javascriptjobs",FALSE,0,NA,2017-11-30 22:45:04,FALSE,NA,"936365491563753472",NA,"<a href=""http://www.javascriptjobs.com/"" rel=""nofollow"">JS Jobs</a>","WorldwideJs",0,FALSE,FALSE,NA,NA
"1062","Now Playing on WZCO - John Denver - Christmas Like A Lullaby",FALSE,0,NA,2017-11-30 22:45:02,FALSE,NA,"936365480729722880",NA,"<a href=""http://www.wzco.org"" rel=""nofollow"">cast wzco</a>","wzco899",0,FALSE,FALSE,NA,NA
"1063","RT @josierourke: Contain yourselves, I made the news in Denver (courtesy of @AnicaPadilla):
https://t.co/gjDcQGXALL",FALSE,0,NA,2017-11-30 22:44:58,FALSE,NA,"936365464804085761",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","janinegibson",4,TRUE,FALSE,NA,NA
"1064","RT @RVAwonk: Doug Jones spent 20+ yrs prosecuting drug dealers, dirty cops, &amp; domestic terrorists — including KKK members who murdered 4 ch…",FALSE,0,NA,2017-11-30 22:44:56,FALSE,NA,"936365458181177345",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",4768,TRUE,FALSE,NA,NA
"1065","@jbetz1738 @CoachAntBrown @DMarsh03_06 @CoachAPringle @MSAhoopsManuel @CoachHonore @ONeal_Jones @KGHSBBall… https://t.co/l0e5dA6EZh",FALSE,0,"jbetz1738",2017-11-30 22:44:49,TRUE,"936278296161079296","936365429701971969","279272328","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DuvalSimmonds",0,FALSE,FALSE,NA,NA
"1066","Contain yourselves, I made the news in Denver (courtesy of @AnicaPadilla):
https://t.co/gjDcQGXALL",FALSE,34,NA,2017-11-30 22:44:47,FALSE,NA,"936365419484602368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","josierourke",4,FALSE,FALSE,NA,NA
"1067","RT @jaguardebate: Visiting the sharks before competing against them in Denver! #mcjags #speechanddebate https://t.co/F5yVXBEpa1",FALSE,0,NA,2017-11-30 22:44:47,FALSE,NA,"936365419056848896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","msclappermcjags",3,TRUE,FALSE,NA,NA
"1068","Prepare yourselves, my Colorado friends, now you too can enjoy overrated burgers and bland, unremarkable fries.

https://t.co/o5DanOjQaC",FALSE,0,NA,2017-11-30 22:44:43,FALSE,NA,"936365402979909632",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","thenamescliff",0,FALSE,FALSE,NA,NA
"1069","RT @funder: The “tax bill” lifts a 1954 ban on political activism by churches. So long separation of church &amp; state. #GOPTaxScam https://t.…",FALSE,0,NA,2017-11-30 22:44:36,FALSE,NA,"936365374764748800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",1478,TRUE,FALSE,NA,NA
"1070","#Denver’s median home value jumped $22,000 this year as number of for-sale homes plummeted https://t.co/4sZHHQTfbu https://t.co/qyBus0bQYV",FALSE,0,NA,2017-11-30 22:44:34,FALSE,NA,"936365366166536192",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","mmdenverRE",0,FALSE,FALSE,NA,NA
"1071","Broncos S Darian Stewart punished for huge hit on Raiders WR Amari Cooper https://t.co/aN8IOs6RAx https://t.co/ORgLK1Pvvm",FALSE,0,NA,2017-11-30 22:44:27,FALSE,NA,"936365335334223872",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","all22",0,FALSE,FALSE,NA,NA
"1072","RT @ProudResister: 16 Women vs Trump
Who do you believe?
I believe the WOMEN https://t.co/5sBF2KuiZj",FALSE,0,NA,2017-11-30 22:44:23,FALSE,NA,"936365319106334720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","denver_rose",548,TRUE,FALSE,NA,NA
"1073","Don't pack. Play! #ski #snowboard #adventure #convenience #Denver #Colorado #mythreadventure #getoutside #powpow… https://t.co/6GpnrNWn6d",FALSE,3,NA,2017-11-30 22:44:17,TRUE,NA,"936365293361754112",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mythreadventure",0,FALSE,FALSE,NA,NA
"1074","naked girls in denver free black pornclips https://t.co/X9Wo8YhxnD",FALSE,0,NA,2017-11-30 22:44:13,FALSE,NA,"936365275313827840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alitaangelz",0,FALSE,FALSE,NA,NA
"1075","Chansey<U+2640> Zen Headbutt/Dazzling Gleam (IV: 76% - CP: 141 - L: 4) until 04:12:07pm https://t.co/fVoCo8wbgp",FALSE,0,NA,2017-11-30 22:44:11,FALSE,NA,"936365267881463808",NA,"<a href=""http://pogoalerts.net"" rel=""nofollow"">PGAN CO Denver South Lakewood</a>","PGANDENSLakewoo",0,FALSE,FALSE,NA,NA
"1076","Denver's mini-governments are set for another year of banner growth - Denverite https://t.co/qw5hskaCxh",FALSE,0,NA,2017-11-30 22:44:03,FALSE,NA,"936365235434168320",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","DenverNews24",0,FALSE,FALSE,NA,NA
"1077","So Denver's awesome.... yep I'm never leaving",FALSE,3,NA,2017-11-30 22:44:02,FALSE,NA,"936365230535221248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cole_ginger04",0,FALSE,FALSE,NA,NA
"1078","Thu, 11/30: ISS pass tonight for Denver/Aurora, 5:49 pm start in W, 36 deg. max at 5:52 pm, ends NNE, https://t.co/EX47G3bFqP",FALSE,0,NA,2017-11-30 22:44:01,FALSE,NA,"936365226378907648",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CCAastronomy",0,FALSE,FALSE,NA,NA
"1079","Thu, 11/30: ISS pass tonight for Denver/Aurora, 5:49 pm start in W, 36 deg. max at 5:52 pm, ends NNE, https://t.co/PHyzyvnzdw",FALSE,0,NA,2017-11-30 22:44:01,FALSE,NA,"936365224688541697",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ast102",0,FALSE,FALSE,NA,NA
"1080","Thu, 11/30: ISS pass tonight for Denver/Aurora, 5:49 pm start in W, 36 deg. max at 5:52 pm, ends NNE, https://t.co/RUZXQYX9OW",FALSE,0,NA,2017-11-30 22:44:01,FALSE,NA,"936365224608792578",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","coloradoskies",0,FALSE,FALSE,NA,NA
"1081","Thu, 11/30: ISS pass tonight for Denver/Aurora, 5:49 pm start in W, 36 deg. max at 5:52 pm, ends NNE, https://t.co/cYtkoTrsRX",FALSE,0,NA,2017-11-30 22:44:00,FALSE,NA,"936365223900049408",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","sternmann",0,FALSE,FALSE,NA,NA
"1082","Thu, 11/30: ISS pass tonight for Denver/Aurora, 5:49 pm start in W, 36 deg. max at 5:52 pm, ends NNE, https://t.co/HHtJjtsMpr",FALSE,0,NA,2017-11-30 22:44:00,FALSE,NA,"936365223304458240",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LarrySessions",0,FALSE,FALSE,NA,NA
